"Subject";"Class";"Strand";"Strand Unit";"Content Objectives";"Further Information";;;;;;;;;;;;
"Na hAmharcealaíona ";"Rang a haon";" Rang a dó ";"Líníocht";"Breathnú agus freagairt ";"a s(h)aothar féin";" saothar páistí eile agus saothar ealaíontóirí a bhreathnú agus a phlé";"an idé a bhí i gceist ";;;;;;;;;;
"Na hAmharcealaíona ";"Rang a haon";" Rang a dó ";"Líníocht";"Breathnú agus freagairt ";"a s(h)aothar féin";" saothar páistí eile agus saothar ealaíontóirí a bhreathnú agus a phlé";"an ghné den líníocht is mó a thaitníonn leis/léi";;;;;;;;;;
"Na hAmharcealaíona ";"Rang a trí";" Rang a ceathair";"Líníocht";"Breathnú agus freagairt ";"a s(h)aothar féin";" saothar páistí eile agus saothar ealaíontóirí a bhreathnú agus a phlé";"cur síos ar cad atá ag titim amach sa líníocht ";;;;;;;;;;
"Na hAmharcealaíona ";"Rang a trí";" Rang a ceathair";"Líníocht";"Breathnú agus freagairt ";"a s(h)aothar féin";" saothar páistí eile agus saothar ealaíontóirí a bhreathnú agus a phlé";"na tréithe líne";" crutha";" uigeachta";" gréasa agus rithime";" agus toin a cruthaíodh ";;;;;;
"Na hAmharcealaíona ";"Rang a trí";" Rang a ceathair";"Líníocht";"Breathnú agus freagairt ";"a s(h)aothar féin";" saothar páistí eile agus saothar ealaíontóirí a bhreathnú agus a phlé";"mar a chuirtear doimhneacht spásúlach agus mionsonraí sa chúlra in iúl ";;;;;;;;;;
"Na hAmharcealaíona ";"Rang a trí";" Rang a ceathair";"Líníocht";"Breathnú agus freagairt ";"a s(h)aothar féin";" saothar páistí eile agus saothar ealaíontóirí a bhreathnú agus a phlé";"mar a chuirtear aicsean in iúl ";;;;;;;;;;
"Na hAmharcealaíona ";"Rang a trí";" Rang a ceathair";"Líníocht";"Breathnú agus freagairt ";"a s(h)aothar féin";" saothar páistí eile agus saothar ealaíontóirí a bhreathnú agus a phlé";"cad a bhí i gceist ";;;;;;;;;;
"Na hAmharcealaíona ";"Rang a trí";" Rang a ceathair";"Líníocht";"Breathnú agus freagairt ";"a s(h)aothar féin";" saothar páistí eile agus saothar ealaíontóirí a bhreathnú agus a phlé";"fadhbanna a tháinig sa bhealach agus mar a réitíodh iad ";;;;;;;;;;
"Na hAmharcealaíona ";"Rang a trí";" Rang a ceathair";"Líníocht";"Breathnú agus freagairt ";"a s(h)aothar féin";" saothar páistí eile agus saothar ealaíontóirí a bhreathnú agus a phlé";"obair ealaíontóirí eile a rinne an téama a léirmhíniú sa tslí chéanna nó i slí dhifriúil";;;;;;;;;;
"Na hAmharcealaíona ";"Rang a trí";" Rang a ceathair";"Líníocht";"Breathnú agus freagairt ";"a s(h)aothar féin";" saothar páistí eile agus saothar ealaíontóirí a bhreathnú agus a phlé";"a mothaíonn sé/sí faoin líníocht";;;;;;;;;;
"Na hAmharcealaíona ";"Naíonáin shóisearacha";" Naíonáin shinsearacha ";"Péint agus dath";"Péinteáil";"feasacht ar dhath a fhorbairt trí thriail a bhaint as uirlisí líníochta éagsúla agus meáin éagsúla dathaithe";"péint";" pinn luaidhe agus criáin dhathannacha ";;;;;;;;;;
"Na hAmharcealaíona ";"Naíonáin shóisearacha";" Naíonáin shinsearacha ";"Péint agus dath";"Péinteáil";"feasacht ar dhath a fhorbairt trí thriail a bhaint as uirlisí líníochta éagsúla agus meáin éagsúla dathaithe";"prionta";" fabraic agus snáithín ";;;;;;;;;;
"Na hAmharcealaíona ";"Naíonáin shóisearacha";" Naíonáin shinsearacha ";"Péint agus dath";"Péinteáil";"feasacht ar dhath a fhorbairt trí thriail a bhaint as uirlisí líníochta éagsúla agus meáin éagsúla dathaithe";"turgnamh le dathanna a mheascadh ";;;;;;;;;;;
"Na hAmharcealaíona ";"Naíonáin shóisearacha";" Naíonáin shinsearacha ";"Péint agus dath";"Péinteáil";"feasacht ar dhath a fhorbairt trí thriail a bhaint as uirlisí líníochta éagsúla agus meáin éagsúla dathaithe";"na féidearthachtaí datha atá ag uirlisí péintéireachta ar ríomhaire a iniúchadh";;;;;;;;;;;
"Na hAmharcealaíona ";"Naíonáin shóisearacha";" Naíonáin shinsearacha ";"Péint agus dath";"Péinteáil";"dath a úsáid chun mothúcháin a thabharfadh sé/sí chun cuimhne";" eispéireas agus rudaí samhlaithe a léiriú";"an baile agus súgradh ";;;;;;;;;;
"Na hAmharcealaíona ";"Naíonáin shóisearacha";" Naíonáin shinsearacha ";"Péint agus dath";"Péinteáil";"dath a úsáid chun mothúcháin a thabharfadh sé/sí chun cuimhne";" eispéireas agus rudaí samhlaithe a léiriú";"brionglóidí agus tnútháin ";;;;;;;;;;
"Na hAmharcealaíona ";"Naíonáin shóisearacha";" Naíonáin shinsearacha ";"Péint agus dath";"Péinteáil";"dath a úsáid chun mothúcháin a thabharfadh sé/sí chun cuimhne";" eispéireas agus rudaí samhlaithe a léiriú";"ócáidí speisialta";;;;;;;;;;
"Na hAmharcealaíona ";"Naíonáin shóisearacha";" Naíonáin shinsearacha ";"Péint agus dath";"Péinteáil";"dath a fhionnachtain san amharcthimpeallacht chun íogaireacht do dhath a fhorbairt";"tús a chur le dathanna átá níos gile agus níos dorcha ná a chéile a idirdhealú";;;;;;;;;;;
"Na hAmharcealaíona ";"Naíonáin shóisearacha";" Naíonáin shinsearacha ";"Péint agus dath";"Péinteáil";"dath a fhionnachtain san amharcthimpeallacht chun íogaireacht do dhath a fhorbairt";"pictiúir a dhéanamh le dath amháin eile chomh maith le dubh agus bán";;;;;;;;;;;
"Na hAmharcealaíona ";"Naíonáin shóisearacha";" Naíonáin shinsearacha ";"Péint agus dath";"Péinteáil";"dath";" gréas agus rithim a fhionnachtain i rudaí dathannacha";"clocha";" bláthanna";" gearrthóga as irisí dathannacha";" gearrthóga fabraice ";;;;;;;
"Na hAmharcealaíona ";"Naíonáin shóisearacha";" Naíonáin shinsearacha ";"Péint agus dath";"Péinteáil";"dath";" gréas agus rithim a fhionnachtain i rudaí dathannacha";"triail a bhaint as a ndathanna a mheaitseáil go simplí";;;;;;;;;;
"Na hAmharcealaíona ";"Naíonáin shóisearacha";" Naíonáin shinsearacha ";"Péint agus dath";"Péinteáil";"an coibhneas idir mothú agus cuma rudaí a fhionnachtain";"uigeacht in earraí nádúrtha agus in earraí saothraithe ";;;;;;;;;;;
"Na hAmharcealaíona ";"Naíonáin shóisearacha";" Naíonáin shinsearacha ";"Péint agus dath";"Péinteáil";"an coibhneas idir mothú agus cuma rudaí a fhionnachtain";"péint";" scuaba agus earraí coitianta a dtiocfaí orthu a úsáid i slite éagsúla chun uigeacht a chruthú";;;;;;;;;;
